command,officers,avg_base_salary,avg_regular_hours,avg_regular_paid,avg_ot_hours,avg_ot_paid,avg_other_paid,avg_total_paid,avg_years_on_force,total_base_salary,total_regular_hours,total_regular_paid,total_ot_hours,total_ot_paid,total_other_paid,total_total_paid,total_years_on_force
ALL SRG,487,90040.24640657085,2073.4620123203285,88543.1704312115,491.0965092402464,23574.35523613963,18419.868583162217,130537.39425051335,12.86748075534675,43849600,1009776,43120524,239164,11480711,8970476,63571711,6266.463127853867
NON-SRG,32117,84738.42357629916,2041.9385683594357,82381.41249182676,262.01833919730984,12210.49391288103,14995.32531058318,109587.23171529097,11.794244548647544,2721543950,65580941,2645843825,8415243,392164433,481604863,3519613121,378795.7521689132
001 DET SQUAD,17,95195.05882352941,2080,92135.05882352941,473.2352941176471,22653.29411764706,17070.764705882353,131859.11764705883,14.60668815471394,1618316,35360,1566296,8045,385106,290203,2241605,248.31369863013697
001 PRECINCT,174,73767.1264367816,2048.0172413793102,71909.44827586207,237.55747126436782,10000.310344827587,12762.948275862069,94672.70689655172,9.075190258751913,12835480,356355,12512244,41335,1740054,2220753,16473051,1579.0831050228328
005 DET SQUAD,13,98263.69230769231,2080,96446.69230769231,400.84615384615387,22090.30769230769,18370,136907,16.86771162627327,1277428,27040,1253807,5211,287174,238810,1779791,219.28025114155253
005 PRECINCT,142,72273.82394366198,2000.943661971831,69639.78873239437,290.8943661971831,11134.81690140845,12897.295774647888,93671.9014084507,8.566021930670788,10262883,284134,9888850,41307,1581144,1831416,13301410,1216.3751141552518
006 DET SQUAD,12,99866.5,2080,98654.83333333333,492.0833333333333,27574.75,17364.583333333332,143594.16666666666,14.115363394216134,1198398,24960,1183858,5905,330897,208375,1723130,169.3843607305936
006 PRECINCT,128,75464.234375,1992.28125,73013.1796875,312.203125,12035.5859375,13478.9921875,98527.7578125,9.584055722031968,9659422,255012,9345687,39962,1540555,1725311,12611553,1226.7591324200919
007 DET SQUAD,15,96201.93333333333,2080,94697.13333333333,486.8666666666667,24465.666666666668,17037.533333333333,136200.33333333334,14.829132420091325,1443029,31200,1420457,7303,366985,255563,2043005,222.43698630136987
007 PRECINCT,117,76274.15384615384,1997.3333333333333,73138.92307692308,216.7948717948718,9168.008547008547,13101.02564102564,95407.95726495727,9.878517347695434,8924076,233688,8557254,25365,1072657,1532820,11162731,1155.7865296803657
009 DET SQUAD,18,96314.72222222222,2080,93915.55555555556,465.27777777777777,22888.555555555555,16566.38888888889,133370.5,13.798084728564179,1733665,37440,1690480,8375,411994,298195,2400669,248.36552511415522
009 PRECINCT,168,74129.16071428571,1965.1785714285713,70385.60119047618,187.57738095238096,7465.952380952381,12874.517857142857,90726.07142857143,9.147360839312903,12453699,330150,11824781,31513,1254280,2162919,15241980,1536.7566210045677
010 DET SQUAD,15,91457.46666666666,2080,88675.93333333333,431.1333333333333,21423.4,15083.333333333334,125182.66666666667,11.246841704718417,1371862,31200,1330139,6467,321351,226250,1877740,168.70262557077626
010 PRECINCT,146,75547.56849315068,1976.3082191780823,72482.93150684932,215.5,8837.294520547945,13461.40410958904,94781.6301369863,10.234292706574099,11029945,288541,10582508,31463,1290245,1965365,13838118,1494.2067351598184
013 DET SQUAD,25,88180.16,2080,87375.12,417.56,22011.8,15195.4,124582.32,12.182086757990866,2204504,52000,2184378,10439,550295,379885,3114558,304.55216894977167
013 PRECINCT,184,69162.625,2018.0652173913043,67462.66847826086,187.95652173913044,7530.673913043478,11820.853260869566,86814.19565217392,8.210013400833839,12725923,371324,12413131,34584,1385644,2175037,15973812,1510.6424657534262
014 PCT-MIDTOWN SO. PCT,225,73852.88444444444,1985.9777777777779,70724.14222222222,242.54222222222222,9708.817777777778,13050.222222222223,93483.18222222223,9.439923896499256,16616899,446845,15912932,54572,2184484,2936300,21033716,2123.9828767123327
017 DET SQUAD,12,99111.66666666667,2080,96253.16666666667,468.1666666666667,25906.25,17614.416666666668,139773.83333333334,15.641191019786909,1189340,24960,1155038,5618,310875,211373,1677286,187.6942922374429
017 PRECINCT,138,73664.94927536232,2040.0144927536232,71230.34782608696,237.9927536231884,9255.77536231884,13399.231884057972,93885.35507246378,10.171164218119259,10165763,281522,9829788,32843,1277297,1849094,12956179,1403.6206621004576
018 PCT-MIDTOWN NO. PCT,199,77478.4120603015,2008.497487437186,74644.31155778894,309.0753768844221,12713.226130653265,14060.788944723618,101418.32663316582,10.425132511874459,15418204,399691,14854218,61506,2529932,2798097,20182247,2074.601369863017
019 DET SQUAD,18,90920.94444444444,2080,87950.5,392.72222222222223,21818.333333333332,14583.944444444445,124352.77777777778,12.030219431760528,1636577,37440,1583109,7069,392730,262511,2238350,216.5439497716895
019 PRECINCT,196,69596.10204081633,2007.0051020408164,66722.38265306123,131.85714285714286,4737.224489795918,11878.566326530612,83338.17346938775,8.315974163638074,13640836,393373,13077587,25844,928496,2328199,16334282,1629.9309360730624
020 DET SQUAD,12,95130.66666666667,2080,92831.16666666667,401,21984.75,16699,131514.91666666666,13.912404870624046,1141568,24960,1113974,4812,263817,200388,1578179,166.94885844748856
020 PRECINCT,123,76057.60162601626,2029.6097560975609,74002.76422764227,220.15447154471545,8337.853658536585,14352.71544715447,96693.33333333333,11.14129728626054,9355085,249642,9102340,27079,1025556,1765384,11893280,1370.3795662100465
023 DET SQUAD,17,95798.94117647059,2080,95742.76470588235,512.5882352941177,27562.58823529412,17539.941176470587,140845.29411764705,13.85775584206285,1628582,35360,1627627,8714,468564,298179,2394370,235.58184931506847
023 PRECINCT,176,71913.89204545454,1963.2556818181818,66783.32386363637,208.53977272727272,7363.647727272727,12384.238636363636,86531.21022727272,8.321914565172277,12656845,345533,11753865,36703,1296002,2179626,15229493,1464.6569634703208
024 DET SQUAD,12,97325,2080,96969.91666666667,462.5,25775.166666666668,17195.833333333332,139940.91666666666,15.404870624048707,1167900,24960,1163639,5550,309302,206350,1679291,184.8584474885845
024 PRECINCT,162,69788.67901234567,1948.8086419753085,65976.63580246913,183.95679012345678,7173.246913580247,11912.234567901234,85062.11728395062,8.77841126895542,11305766,315707,10688215,29801,1162066,1929782,13780063,1422.102625570778
025 DET SQUAD,17,92521.82352941176,2080,91249.82352941176,527.4117647058823,26214.41176470588,17527.529411764706,134991.76470588235,13.421038141283912,1572871,35360,1551247,8966,445645,297968,2294860,228.1576484018265
025 PRECINCT,162,72606.82716049382,1983.6172839506173,68717.41975308642,222.43827160493828,7957.080246913581,12120.586419753086,88795.08641975309,8.500342465753432,11762306,321346,11132222,36035,1289047,1963535,14384804,1377.055479452056
026 DET SQUAD,14,94555.92857142857,2080,95107.07142857143,416,24002.64285714286,17760.071428571428,136869.7857142857,13.524135681669929,1323783,29120,1331499,5824,336037,248641,1916177,189.337899543379
026 PRECINCT,121,75651.62809917355,1997.9256198347107,73401.03305785124,173.5206611570248,6991.520661157025,13360.00826446281,93752.56198347108,10.091492131778566,9153847,241749,8881525,20996,845974,1616561,11344060,1221.0705479452065
028 DET SQUAD,14,94767.5,2083,97857.85714285714,505.42857142857144,27658.928571428572,18432.571428571428,143949.35714285713,13.118476842791912,1326745,29162,1370010,7076,387225,258056,2015291,183.65867579908678
028 PRECINCT,163,74649.43558282209,2003.196319018405,71579.42331288343,171.95092024539878,6469.319018404908,13366.098159509202,91414.84049079755,9.055835924587516,12167858,326521,11667446,28028,1054499,2178674,14900619,1476.1012557077652
030 DET SQUAD,14,95637.64285714286,2083,93004.28571428571,432.7142857142857,23180.85714285714,17181.35714285714,133366.5,14.867783757338556,1338927,29162,1302060,6058,324532,240539,1867131,208.14897260273978
030 PRECINCT,135,70499.92592592593,1962.2592592592594,67233.91111111111,204.27407407407406,7325.688888888889,11802.548148148147,86362.14814814815,8.744176391002881,9517490,264905,9076578,27577,988968,1593344,11658890,1180.4638127853889
032 DET SQUAD,21,97155.23809523809,2080,94796.42857142857,476,25497.380952380954,16791.85714285714,137085.66666666666,13.61033920417482,2040260,43680,1990725,9996,535445,352629,2878799,285.8171232876712
032 PRECINCT,194,71086.34536082474,1974.7268041237114,68255.42783505155,182.7680412371134,6701.211340206186,12414.309278350516,87370.94845360825,8.417145059549037,13790751,383097,13241553,35457,1300035,2408376,16949964,1632.9261415525132
033 DET SQUAD,14,92601,2080,91082.57142857143,476.85714285714283,24170.428571428572,16248.92857142857,131501.92857142858,15.27208904109589,1296414,29120,1275156,6676,338386,227485,1841027,213.80924657534246
033 PRECINCT,157,75526.59872611465,1998.8471337579617,71713.88535031847,199.77070063694268,7438.6815286624205,13267.273885350318,92419.84076433121,9.377955675770012,11857676,313819,11259080,31364,1167873,2082962,14509915,1472.339041095892
034 DET SQUAD,20,95065.9,2076.1,91951.45,400.3,21391.75,16797.95,130141.15,13.232682648401829,1901318,41522,1839029,8006,427835,335959,2602823,264.65365296803657
034 PRECINCT,175,71357.74285714286,1970.1657142857143,67323.06857142856,209.84,7702.4914285714285,12083.34857142857,87108.90857142858,8.502252446183963,12487605,344779,11781537,36722,1347936,2114586,15244059,1487.8941780821935
040 DET SQUAD,32,99035.3125,2081.3125,98359.21875,412.65625,24913.8125,17554.34375,140827.375,15.935348886986297,3169130,66602,3147495,13205,797242,561739,4506476,509.9311643835615
040 PRECINCT,270,72139.72962962963,2060.240740740741,70562.68518518518,245.92962962962963,8351.68888888889,12847.2,91761.57407407407,8.208903686791825,19477727,556265,19051925,66401,2254956,3468744,24775625,2216.4039954337927
041 DET SQUAD,21,97910.61904761905,2082,95755.04761904762,354.7142857142857,21362.666666666668,16828.380952380954,133946.09523809524,14.422782126549247,2056123,43722,2010856,7449,448616,353396,2812868,302.8784246575342
041 PRECINCT,158,73124.01898734177,2046.9050632911392,70967.12025316455,174.84177215189874,5829.113924050633,12985.949367088608,89782.1835443038,8.867680336396749,11553595,323411,11212805,27625,921000,2051780,14185585,1401.0934931506863
042 DET SQUAD,24,96276.58333333333,2072.7083333333335,94892.08333333333,266.25,15889.333333333334,16701.541666666668,127482.95833333333,13.141504946727549,2310638,49745,2277410,6390,381344,400837,3059591,315.39611872146116
042 PRECINCT,216,70090.13425925926,2027.736111111111,67551.76388888889,221.24537037037038,7130.625,12449.902777777777,87132.29166666667,7.92944254185694,15139469,437991,14591181,47789,1540215,2689179,18820575,1712.759589041099
043 DET SQUAD,33,95633.42424242424,2081.2727272727275,93899.75757575757,301.969696969697,18087.666666666668,16848.454545454544,128835.87878787878,14.424155942991558,3155903,68682,3098692,9965,596893,555999,4251584,475.9971461187214
043 PRECINCT,273,73856.30402930402,1988.838827838828,69362.6043956044,180.7032967032967,6594.051282051282,13128.593406593407,89085.24908424908,8.383222523291032,20162771,542953,18935991,49332,1800176,3584106,24320273,2288.6197488584517
044 DET SQUAD,34,91446.76470588235,2080,88398.11764705883,399.20588235294116,22443.323529411766,15117.617647058823,125959.05882352941,12.28372951920494,3109190,70720,3005536,13573,763073,513999,4282608,417.64680365296795
044 PRECINCT,294,73707.41496598639,2045.8673469387754,70409.05102040817,235.93197278911563,8080.863945578231,13282.724489795919,91772.63945578231,8.631081290963882,21669980,601485,20700261,69364,2375774,3905121,26981156,2537.5378995433816
045 DET SQUAD,16,101229.875,2082.875,100829.125,336.875,22056.3125,17138.6875,140024.125,15.863777111872146,1619678,33326,1613266,5390,352901,274219,2240386,253.82043378995434
045 PRECINCT,175,72652.25142857143,2057.6685714285713,70411.98285714285,114.76571428571428,4320.28,13477.217142857144,88209.48,9.148679712981096,12714144,360092,12322097,20084,756049,2358513,15436659,1601.0189497716917
046 DET SQUAD,30,95751.63333333333,2081.4,92663.83333333333,503.76666666666665,26478.966666666667,16832.966666666667,135975.76666666666,14.020624048706237,2872549,62442,2779915,15113,794369,504989,4079273,420.61872146118714
046 PRECINCT,261,72480.26819923372,2014.3065134099618,69263.37931034483,196.6743295019157,6894.605363984674,12880.122605363984,89038.10727969349,8.340469567347236,18917350,525734,18077742,51332,1799492,3361712,23238946,2176.862557077629
047 DET SQUAD,36,97983.25,2080,96653,509.6666666666667,27713.555555555555,17294.833333333332,141661.38888888888,15.014691146626076,3527397,74880,3479508,18348,997688,622614,5099810,540.5288812785387
047 PRECINCT,256,71930.4453125,1968.18359375,67499.5625,214.3984375,7476.1796875,12249.86328125,87225.60546875,7.688543450342484,18414194,503855,17279888,54886,1913902,3135965,22329755,1968.267123287676
048 DET SQUAD,25,96004.16,2080,93592.88,384.48,23582.72,16172.72,133348.32,14.041283105022831,2400104,52000,2339822,9612,589568,404318,3333708,351.03207762557076
048 PRECINCT,227,70080.94273127754,1990.9030837004404,66709.78854625551,192.4625550660793,6669.242290748899,12028.964757709251,85407.99559471366,8.231395711383355,15908374,451935,15143122,43689,1513918,2730575,19387615,1868.5268264840217
049 DET SQUAD,17,100331.29411764706,2080,98141,373.47058823529414,23835.058823529413,18011.058823529413,139987.11764705883,16.290175933387054,1705632,35360,1668397,6349,405196,306188,2379781,276.9329908675799
049 PRECINCT,192,70964.41666666667,1984.6927083333333,67540.45833333333,99.95833333333333,3846.1614583333335,12278.442708333334,83665.0625,8.734429699391187,13625168,381061,12967768,19192,738463,2357461,16063692,1677.0105022831078
050 DET SQUAD,17,100786,2081.9411764705883,99814.4705882353,400,21366.176470588234,17284.764705882353,138465.41176470587,17.298549556809025,1713362,35393,1696846,6800,363225,293841,2353912,294.0753424657534
050 PRECINCT,154,75084.31818181818,1987.0844155844156,72229.24675324676,131.57142857142858,5292.474025974026,13105.681818181818,90627.4025974026,9.73263431773707,11562985,306011,11123304,20262,815041,2018275,13956620,1498.8256849315087
052 DET SQUAD,25,97160.2,2080,94836,459.32,23764.68,16321.68,134922.36,14.706589041095889,2429005,52000,2370900,11483,594117,408042,3373059,367.6647260273972
052 PRECINCT,267,69517.44194756554,1947.3932584269662,65282.606741573036,223.5131086142322,7505.917602996255,11657.134831460675,84445.65917602996,7.414233492381118,18561157,519954,17430456,59678,2004080,3112455,22546991,1979.6003424657586
060 DET SQUAD,16,100577.3125,2080,99200.5,501.5625,25477,18231.4375,142908.9375,15.713441780821915,1609237,33280,1587208,8025,407632,291703,2286543,251.41506849315064
060 PRECINCT,176,71463.50568181818,2011.471590909091,68001.64204545454,194.67045454545453,7013.403409090909,12123.426136363636,87138.47159090909,8.069222836239117,12577577,354019,11968289,34262,1234359,2133723,15336371,1420.1832191780845
