command,officers,avg_base_salary,avg_regular_hours,avg_regular_paid,avg_ot_hours,avg_ot_paid,avg_other_paid,avg_total_paid,avg_years_on_force
NON-SRG,32117,84738.42357629916,2041.9385683594357,82381.41249182676,262.01833919730984,12210.49391288103,14995.32531058318,109587.23171529097,11.794244548647544
ALL SRG,487,90040.24640657085,2073.4620123203285,88543.1704312115,491.0965092402464,23574.35523613963,18419.868583162217,130537.39425051335,12.86748075534675
,,,,,,,,,
OTHER SPECIALIZED,1081,96112.29694727104,2079.813135985199,95641.44958371879,373.27382053654026,18179.270120259018,18569.209065679926,132389.92876965774,15.557047529135266
ALL SRG,487,90040.24640657085,2073.4620123203285,88543.1704312115,491.0965092402464,23574.35523613963,18419.868583162217,130537.39425051335,12.86748075534675
,,,,,,,,,
By Rank,,,,,,,,,
NON-SRG CAPTAIN,343,153886.50437317786,2079.3731778425654,151443.96793002915,114.03790087463557,7825.032069970845,23211.256559766764,182480.25655976677,19.823095304658047
SRG CAPTAIN,7,162770.57142857142,2080,161658.14285714287,58.142857142857146,4132.571428571428,25879.428571428572,191670.14285714287,21.193052837573386
,,,,,,,,,
NON-SRG DETECTIVE SPECIALIST,867,95169.57785467128,2078.536332179931,93446.87773933103,313.5432525951557,16424.299884659747,17179.580161476355,127050.75778546713,16.65391445861163
SRG DETECTIVE SPECIALIST,6,97016.66666666667,2085.6666666666665,96087.83333333333,439.6666666666667,25238.5,20561,141887.33333333334,17.966761796042615
,,,,,,,,,
NON-SRG LIEUTENANT,1287,127833.66588966589,2076.0846930846933,124194.12587412588,292.78399378399376,19520.675213675215,20198.420357420357,163913.22144522145,17.628538369291633
SRG LIEUTENANT,17,132755.0588235294,2080,129462.88235294117,542,38424.882352941175,23751.29411764706,191639.0588235294,20.27179693795327
,,,,,,,,,
NON-SRG POLICE OFFICER,20598,70774.42921642878,2022.3633362462374,67706.86202543936,214.78313428488204,7974.974754830566,13167.066899699,88848.90367996893,8.83309253658175
SRG POLICE OFFICER,387,82917.04651162791,2076.4263565891474,80775.77777777778,507.9043927648579,22873.01550387597,17814.57881136951,121463.37209302325,11.696668849480268
,,,,,,,,,
NON-SRG SERGEANT,3711,101785.85152250067,2074.105362436001,102790.81137159796,261.9671247642145,14595.0382646187,17652.947184047425,135038.79682026408,15.152038583306044
SRG SERGEANT,62,105533.54838709677,2050.4032258064517,108347.06451612903,440.4032258064516,26123.59677419355,18963.59677419355,153434.25806451612,15.18492598320813
,,,,,,,,,
By Years on Force,,,,,,,,,
NON-SRG < 5 years,6487,46123.275011561585,1915.3782950516418,41797.098813010634,184.15045475566518,3921.6059811931555,5655.922306150763,51374.627100354555,2.8646640312588123
SRG < 5 years,8,56300.75,2080.25,55909.625,390.875,10731.875,8845.125,75486.625,4.810987442922374
,,,,,,,,,
NON-SRG < 10 years,8311,80977.81097340873,2070.226446877632,77031.73408735411,254.91890265912645,10404.5993261942,14630.802671158704,102067.13608470702,7.40729269510827
SRG < 10 years,190,82107.28947368421,2081.1157894736843,78551.64210526316,521.1789473684211,22142.98947368421,16392.21052631579,117086.84210526316,7.590218096611411
,,,,,,,,,
NON-SRG < 15 years,5958,93956.64585431352,2073.3764686136287,93449.2504196039,275.218026183283,14037.164652567975,17167.01359516616,124653.42866733803,12.807390948972284
SRG < 15 years,110,90594.23636363636,2063.7818181818184,90940.4,508.1454545454545,25548.636363636364,18777.536363636365,135266.57272727272,12.371292029887925
,,,,,,,,,
NON-SRG < 20 years,7906,99233.63205160637,2075.133063496079,98252.38515051859,291.7399443460663,16012.249810270681,18787.20806982039,133051.84303060966,17.182407052850216
SRG < 20 years,133,94157.8045112782,2067.097744360902,93681.57142857143,474.187969924812,25164.323308270676,19903.751879699248,138749.64661654134,17.13840079651186
,,,,,,,,,
NON-SRG < 25 years,2158,109351.72752548657,2080.5926784059316,108197.35217794254,350.7386468952734,20717.307228915663,20473.79610750695,149388.45551436517,22.25454753682819
SRG < 25 years,30,108875.2,2083.4,108474.73333333334,403.6666666666667,23206.7,22564.533333333333,154245.96666666667,22.09259132420091
,,,,,,,,,
NON-SRG < 30 years,875,124271.8,2082.68,123071.36571428571,340.83085714285716,21436.61142857143,21657.737142857142,166165.7142857143,27.433408088714955
SRG < 30 years,9,121349.66666666667,2080,120352.33333333333,446.22222222222223,25803.222222222223,25329.444444444445,171485,27.750139523084734
,,,,,,,,,
